	uner-name	uner-class	name	id
82972	Signal Iduna Park	Name-Facility-GOE-Sports_Facility	Signal_Iduna_Park	entity_4356515
83006	NK Hodošan	Name-Organization-Sports_Organization-Pro_Sports_Organization	NK_Hodošan	entity_6125542
83009	Aleksandar Rakodczay	Name-Person-Name_Person	Aleksandar_Rakodczay	entity_3147735
83022	Marc Trauner	Name-Person-Name_Person	Marc_Trauner	entity_17144
83024	Rotterdam Termination Source	Name-Organization-Show_Organization	Rotterdam_Termination_Source	entity_3319922
83026	Euromasters	Name-Organization-Show_Organization	Euromasters	entity_12286384
83027	Rotterdam Records	Name-Organization-Corporation-CompanyName-Facility-GOE-School	Rotterdam_Records	entity_9116243
83048	HS2000	Name-Product-Weapon-Object	HS2000	entity_20659406
83052	Wildest Dreams	Name-Event-Occasion-Game	Wildest_Dreams	entity_3138301
83053	Robert Stirling	Name-Person-Name_Person	Robert_Stirling	entity_3650284
83054	Sámod	Name-Location-GPE-City	Sámod	entity_5512018
83055	Rádfalva	Name-Location-GPE-City	Rádfalva	entity_4343443
83056	Drávapiski	Name-Location-GPE-City	Drávapiski	entity_6051707
83057	Kémes	Name-Location-GPE-City	Kémes	entity_3946104
83058	Cún	Name-Location-GPE-City	Cún	entity_12797470
83059	Kisszentmárton	Name-Location-GPE-City	Kisszentmárton	entity_1950095
83069	Robb Flynn	Name-Person-Name_Person	Robb_Flynn	entity_7842134
83072	Burn My Eyes	Name-Product-Art-Music	Burn_My_Eyes	entity_6409783
83076	Through the Ashes of Empires	Name-Product-Art-Music	Through_the_Ashes_of_Empires	entity_6336959
83077	The Blackening	Name-Product-Art-Music	The_Blackening	entity_10004415
83096	Adorjás	Name-Location-GPE-City	Adorjás	entity_3887560
83097	Hirics	Name-Location-GPE-City	Hirics	entity_6005287
83098	Lúzsok	Name-Location-GPE-City	Lúzsok	entity_5038944
83116	Djedina Rijeka	Name-Location-GPE-City	Djedina_Rijeka	entity_11989585
83120	Štikada	Name-Location-GPE-City	Štikada	entity_4678778
83128	Johann Weyer	Name-Person-Name_Person	Johann_Weyer	entity_9365650
83132	Gabber	Name-Product-Doctrine_Method-Culture	Gabber	entity_8611954
83147	Klenovec Humski	Name-Location-GPE-City	Klenovec_Humski	entity_2959149
83152	Nagycsány	Name-Location-GPE-City	Nagycsány	entity_4802793
83153	Páprád	Name-Location-GPE-City	Páprád	entity_11942999
83154	Kákics	Name-Location-GPE-City	Kákics	entity_9388481
83160	David Bisbal	Name-Person-Name_Person	David_Bisbal	entity_11548006
83164	Good Girl Gone Bad Tour	Name-Event-Occasion-Game	Good_Girl_Gone_Bad_Tour	event_170857
83186	Svilajnac	Name-Location-GPE-City	Svilajnac	entity_11315264
83187	Dallas Stars	Name-Organization-Sports_Organization-Pro_Sports_Organization	Dallas_Stars	entity_722236
83193	Jesolo	Name-Location-GPE-GPE_Other	Jesolo	entity_2938478
83194	Quarto d'Altino	Name-Location-GPE-GPE_Other	Quarto_d'Altino	entity_9571784
83216	Vukšić Donji	Name-Location-GPE-City	Vukšić_Donji	entity_9866299
